"";"Genera_Prefix";"Lineage_Name";"Lineage";"parasiteGenus";"order";"family";"genus";"species";"Host_Environment";"continent";"country";"Latitude";"Longitude";"strategy_3";"distance_4";"distance_quanti_RES0";"distance_quanti_ALL"
"1";"H_";"ABSUP01";"H_ABSUP01";"Haemoproteus";"Passeriformes";"Sylviidae";"Abroscopus";"Abroscopus_superciliaris";"Wild";"Asia";"China";21,5833333333333;101,7;"resident";"resident";"0";"612.812083687553"
"2";"H_";"ABUCUJ01";"H_ABUCUJ01";"Haemoproteus";"Galliformes";"Cracidae";"Pipile";"Pipile_cujubi";"Wild";"South_America";"Brazil";-0,05;-50,4;"resident";"resident";"0";"405.091893038592"
"3";"H_";"ACAED01";"H_ACAED01";"Haemoproteus";"Passeriformes";"Nectariniidae";"Nectarinia";"Nectarinia_sperata";"Wild";"Asia";"India";0;0;"resident";"resident";"0";"639.899570834414"
"4";"H_";"ACAED01";"H_ACAED01";"Haemoproteus";"Passeriformes";"Cisticolidae";"Prinia";"Prinia_inornata";"Wild";"Asia";"India";0;0;"resident";"resident";"0";"775.474124794434"
"5";"H_";"ACAED01";"H_ACAED01";"Haemoproteus";"Passeriformes";"Sylviidae";"Acrocephalus";"Acrocephalus_aedon";"Wild";"Asia";"Myanmar";0;0;"strict_mig";"variable";"3037.58655577218";"3037.58655577218"
"6";"H_";"ACAED02";"H_ACAED02";"Haemoproteus";"Passeriformes";"Sylviidae";"Acrocephalus";"Acrocephalus_aedon";"Wild";"Asia";"China";42,0611111111111;117,627777777778;"strict_mig";"variable";"3037.58655577218";"3037.58655577218"
"7";"H_";"ACAED02";"H_ACAED02";"Haemoproteus";"Passeriformes";"Aegithalidae";"Aegithalos";"Aegithalos_caudatus";"Wild";"Asia";"China";42,45;115,433333333333;"resident";"resident";"0";"1315.15928332703"
"8";"H_";"ACAED02";"H_ACAED02";"Haemoproteus";"Passeriformes";"Fringillidae";"Emberiza";"Emberiza_elegans";"Wild";"Asia";"China";42,45;115,433333333333;"partial_mig";"short";"1356.45571657722";"1356.45571657722"
"9";"H_";"ACAED02";"H_ACAED02";"Haemoproteus";"Passeriformes";"Fringillidae";"Emberiza";"Emberiza_pusilla";"Wild";"Asia";"China";42,0611111111111;117,627777777778;"strict_mig";"long";"4035.35541003381";"4035.35541003381"
"10";"H_";"ACAED02";"H_ACAED02";"Haemoproteus";"Passeriformes";"Paridae";"Parus";"Parus_major";"Wild";"Asia";"China";42,45;115,433333333333;"resident";"resident";"0";"1627.12585057236"
"11";"H_";"ACAED02";"H_ACAED02";"Haemoproteus";"Passeriformes";"Paridae";"Parus";"Parus_venustulus";"Wild";"Asia";"China";42,45;115,433333333333;"partial_mig";"short";"702.154384614479";"702.154384614479"
"12";"H_";"ACAED02";"H_ACAED02";"Haemoproteus";"Passeriformes";"Sylviidae";"Phylloscopus";"Phylloscopus_proregulus";"Wild";"Asia";"China";42,45;115,433333333333;"resident";"resident";"0";"NA"
"13";"H_";"ACAED02";"H_ACAED02";"Haemoproteus";"Passeriformes";"Sittidae";"Sitta";"Sitta_europaea";"Wild";"Asia";"China";42,45;115,433333333333;"resident";"resident";"0";"1344.32913958605"
"14";"L_";"ACAFLA01";"L_ACAFLA01";"Leucocytozoon";"Passeriformes";"Fringillidae";"Carduelis";"Carduelis_flammea";"Wild";"North_America";"United_States";63,9461111111111;-146,38;"partial_mig";"variable";"1536.21779456656";"1536.21779456656"
"15";"L_";"ACAFLA02";"L_ACAFLA02";"Leucocytozoon";"Passeriformes";"Fringillidae";"Carduelis";"Carduelis_flammea";"Wild";"North_America";"United_States";64,5138888888889;-145,259444444444;"partial_mig";"variable";"1536.21779456656";"1536.21779456656"
"16";"L_";"ACAFLA02";"L_ACAFLA02";"Leucocytozoon";"Passeriformes";"Fringillidae";"Carduelis";"Carduelis_flammea";"Wild";"North_America";"United_States";63,9461111111111;-146,38;"partial_mig";"variable";"1536.21779456656";"1536.21779456656"
"17";"L_";"ACAFLA02";"L_ACAFLA02";"Leucocytozoon";"Passeriformes";"Fringillidae";"Loxia";"Loxia_leucoptera";"Wild";"North_America";"United_States";66,2261111111111;-147,467222222222;"partial_mig";"short";"1783.72778133917";"1783.72778133917"
"18";"L_";"ACAFLA03";"L_ACAFLA03";"Leucocytozoon";"Passeriformes";"Fringillidae";"Carduelis";"Carduelis_flammea";"Wild";"North_America";"United_States";64,5138888888889;-145,259444444444;"partial_mig";"variable";"1536.21779456656";"1536.21779456656"
"19";"L_";"ACAFLA03";"L_ACAFLA03";"Leucocytozoon";"Passeriformes";"Fringillidae";"Carduelis";"Carduelis_flammea";"Wild";"North_America";"United_States";63,9461111111111;-146,38;"partial_mig";"variable";"1536.21779456656";"1536.21779456656"
"20";"L_";"ACAFLA03";"L_ACAFLA03";"Leucocytozoon";"Passeriformes";"Fringillidae";"Carduelis";"Carduelis_flammea";"Wild";"North_America";"United_States";64,6572222222222;-144,522777777778;"partial_mig";"variable";"1536.21779456656";"1536.21779456656"
"21";"L_";"ACAFLA03";"L_ACAFLA03";"Leucocytozoon";"Passeriformes";"Fringillidae";"Carduelis";"Carduelis_flammea";"Wild";"North_America";"United_States";66,2261111111111;-147,467222222222;"partial_mig";"variable";"1536.21779456656";"1536.21779456656"
"22";"L_";"ACAFLA03";"L_ACAFLA03";"Leucocytozoon";"Passeriformes";"Tyrannidae";"Empidonax";"Empidonax_alnorum";"Wild";"North_America";"United_States";66,2261111111111;-147,467222222222;"strict_mig";"long";"5697.05710471679";"5697.05710471679"
"23";"L_";"ACAFLA03";"L_ACAFLA03";"Leucocytozoon";"Passeriformes";"Tyrannidae";"Empidonax";"Empidonax_flaviventris";"Wild";"North_America";"United_States";67,4944444444444;-143,345555555556;"strict_mig";"long";"3658.96411193278";"3658.96411193278"
"24";"L_";"ACAFLA03";"L_ACAFLA03";"Leucocytozoon";"Passeriformes";"Tyrannidae";"Empidonax";"Empidonax_hammondii";"Wild";"North_America";"United_States";67,3847222222222;-145,921666666667;"strict_mig";"variable";"2379.18487216491";"2379.18487216491"
"25";"L_";"ACAFLA03";"L_ACAFLA03";"Leucocytozoon";"Passeriformes";"Fringillidae";"Junco";"Junco_hyemalis";"Wild";"North_America";"United_States";66,2261111111111;-147,467222222222;"partial_mig";"variable";"1585.20387452338";"1585.20387452338"
